TIME(10ms),JKA01\JKA01\CTEC_ATAG0@Out.Val(1#核功率),JKA02\JKA01\CTEC_ATAG0@Out.Val(2#核功率),N00\JEG\CTEC_ATAG0@Out.Val(1#一回路压力),N00\JEG\CTEC_ATAG1@Out.Val(2#一回路压力),N00\HEC01\CTEC_ATAG0@Out.Val(1#一回路流量),N20\HEC02\CTEC_ATAG0@Out.Val(2#一回路流量),N00\HEC01\CTEC_ATAG3@Out.Val(1#氦风机转速),N20\HEC02\CTEC_ATAG3@Out.Val(2#氦风机转速),N00\HEC01\CTEC_ATAG1@Out.Val(1#热氦温度),N20\HEC02\CTEC_ATAG1@Out.Val(2#热氦温度),N00\HEC01\CTEC_ATAG2@Out.Val(1#冷氦温度),N20\HEC02\CTEC_ATAG2@Out.Val(2#冷氦温度),N00\HEC01\CTEC_ATAG5@Out.Val(1#热功率),N20\HEC02\CTEC_ATAG5@Out.Val(2#热功率),T00\LBA002\CTEC_ATAG0@Out.Val(1#SG出口温度),T00\LBA003\CTEC_ATAG0@Out.Val(2#SG出口温度),T00\LBA002\1LBA10CP801A@Out.Val(1#SG出口压力),T00\LBA003\2LBA10CP801A@Out.Val(2#SG出口压力),T00\LBA002\1LAB10CF001@Out.Val(1#给水流量),T00\LBA003\2LAB10CF001@Out.Val(2#给水流量),T00\LAB001\CTEC_ATAG23@Out.Val(1#给水温度),T00\LAB001\CTEC_ATAG25@Out.Val(2#给水温度),T00\LBA001\CTEC_ATAG10@Out.Val(蒸汽母管温度),T00\LBA001\CTEC_ATAG9@Out.Val(蒸汽母管压力),T00\LBA001\CTEC_ATAG26@Out.Val(主蒸汽流量),E00\GEN\CTEC_ATAG0@Out.Val(发电机功率),E00\GEN\CTEC_ATAG1@Out.Val(汽轮机转速)
118,186.0077,186.0024,7.005618,6.98283,130,129.9987,3876.815,3887.866,556.9254,557.3411,264.4193,264.5255,202.7647,203.0417,519.7573,521.0223,11.03257,11.03263,77.99339,78.30568,191.9814,191.9842,520.2407,10.99937,156.1259,169.6208,3000
129,186.0077,186.0016,7.005618,6.98283,130,129.9987,3876.815,3887.866,556.9254,557.3411,264.4193,264.5255,202.7647,203.0417,519.7571,521.023,11.03253,11.03261,78.04852,78.34042,191.981,191.9841,520.2407,10.99934,156.1252,169.6208,3000
140,186.0075,186.0016,7.005618,6.98283,130,129.9987,3876.815,3887.866,556.9254,557.3411,264.4193,264.5255,202.7647,203.0417,519.7572,521.024,11.03252,11.03261,78.17119,78.26837,191.9806,191.9843,520.241,10.99933,156.1247,169.6189,3000
151,186.0075,186.0023,7.005619,6.982831,129.9987,129.9988,3876.827,3887.872,556.9255,557.3411,264.4207,264.5267,202.7707,203.0366,519.7573,521.025,11.03251,11.03261,78.25735,78.23792,191.9801,191.9844,520.2412,10.99933,156.1244,169.6189,3000
162,186.0068,186.0023,7.005619,6.982831,129.9987,129.9988,3876.827,3887.872,556.9255,557.3411,264.4207,264.5267,202.7707,203.0366,519.7574,521.0259,11.03252,11.03263,78.30943,78.21766,191.9796,191.9845,520.2416,10.99934,156.1243,169.6173,3000
174,186.0068,186.0021,7.00562,6.982834,129.9984,129.9989,3876.847,3887.876,556.9256,557.3411,264.4222,264.5278,202.8171,203.0341,519.7577,521.027,11.03255,11.03266,78.34858,78.20571,191.9794,191.9846,520.2421,10.99936,156.1245,169.6173,3000
185,186.0073,186.0021,7.00562,6.982834,129.9984,129.9989,3876.847,3887.876,556.9256,557.3411,264.4222,264.5278,202.8171,203.0341,519.7581,521.0281,11.03259,11.0327,78.28046,78.15811,191.9796,191.9849,520.2426,10.99941,156.1249,169.617,3000
195,186.0073,186.0018,7.005622,6.982837,129.9987,129.9988,3876.866,3887.878,556.9256,557.3411,264.4238,264.5292,202.8113,203.0212,519.7585,521.0294,11.03266,11.03276,78.17065,78.15183,191.9798,191.9851,520.2431,10.99947,156.1256,169.617,3000
207,186.0073,186.0018,7.005622,6.982837,129.9987,129.9988,3876.866,3887.878,556.9256,557.3411,264.4238,264.5292,202.8113,203.0212,519.7592,521.0306,11.03273,11.03283,78.11572,78.13321,191.9801,191.9851,520.2438,10.99954,156.1265,169.6174,3000
218,186.0073,186.0024,7.005624,6.98284,130.0003,129.9988,3876.878,3887.878,556.9254,557.3411,264.4253,264.5292,202.7998,203.0212,519.7599,521.0316,11.03279,11.03289,78.07876,78.15753,191.9803,191.9852,520.2444,10.99961,156.1276,169.6174,3000
229,186.0069,186.0024,7.005624,6.98284,130.0003,129.9992,3876.878,3887.88,556.9254,557.3411,264.4253,264.531,202.7998,202.995,519.7604,521.0322,11.03285,11.03292,78.11312,78.13767,191.9803,191.9852,520.2452,10.99966,156.1286,169.6174,3000
240,186.0075,186.0023,7.005624,6.98284,130.0003,129.9992,3876.878,3887.88,556.9254,557.3411,264.4253,264.531,202.7998,202.995,519.761,521.0336,11.03289,11.03299,78.12065,78.17947,191.9804,191.9852,520.2459,10.99971,156.1295,169.6188,3000
251,186.0075,186.0023,7.005624,6.982842,130.0015,129.9988,3876.874,3887.879,556.9253,557.3411,264.4266,264.5331,202.8142,203.002,519.7617,521.0345,11.03294,11.03304,78.1099,78.14258,191.9805,191.9854,520.2466,10.99975,156.1303,169.6188,3000
262,186.0075,186.0017,7.005624,6.982842,130.0015,129.9988,3876.874,3887.879,556.9253,557.3411,264.4266,264.5331,202.8142,203.002,519.7624,521.0354,11.03298,11.03309,78.09571,78.03535,191.9806,191.9858,520.2473,10.9998,156.1311,169.6196,3000
273,186.0075,186.0017,7.005623,6.982845,130.0014,129.9982,3876.861,3887.881,556.9252,557.3412,264.4278,264.5356,202.823,203.0003,519.763,521.0363,11.03301,11.03311,78.06621,77.95532,191.9808,191.9863,520.2479,10.99982,156.1318,169.6196,3000
284,186.007,186.0023,7.005623,6.982845,130.0014,129.9982,3876.861,3887.881,556.9252,557.3412,264.4278,264.5356,202.823,203.0003,519.7635,521.0369,11.03303,11.03312,78.06071,77.89516,191.9809,191.9867,520.2484,10.99984,156.1323,169.6205,3000
295,186.007,186.0021,7.005623,6.982848,130.0012,129.9982,3876.852,3887.881,556.9251,557.3412,264.4289,264.5356,202.7935,203.0003,519.7641,521.0372,11.03304,11.03313,78.02472,77.88202,191.981,191.9869,520.2488,10.99984,156.1325,169.6205,3000
305,186.0075,186.0021,7.005623,6.982848,130.0012,129.998,3876.852,3887.888,556.9251,557.3412,264.4289,264.5382,202.7935,203.0216,519.7645,521.0376,11.03304,11.03312,78.05078,77.91229,191.9811,191.9871,520.2495,10.99984,156.1327,169.6211,3000
317,186.0075,186.0018,7.005623,6.982848,130.0012,129.998,3876.852,3887.888,556.9251,557.3412,264.4289,264.5382,202.7935,203.0216,519.765,521.0379,11.03302,11.0331,78.03674,77.89011,191.9812,191.9873,520.2498,10.99982,156.1326,169.6211,3000
328,186.0075,186.0018,7.005623,6.982852,130.002,129.9982,3876.845,3887.895,556.925,557.3412,264.4301,264.5406,202.796,203.0186,519.7654,521.0381,11.03298,11.03305,77.97858,77.90209,191.9815,191.9873,520.2501,10.99978,156.1322,169.6211,3000
339,186.0075,186.0021,7.005623,6.982852,130.002,129.9982,3876.845,3887.895,556.925,557.3412,264.4301,264.5406,202.796,203.0186,519.7657,521.0385,11.03293,11.033,77.97935,78.00131,191.9815,191.987,520.2502,10.99973,156.1316,169.621,3000
350,186.0071,186.0021,7.005621,6.982855,130.0016,129.9984,3876.834,3887.899,556.9252,557.3414,264.4315,264.5426,202.7636,203.0374,519.7661,521.0386,11.03288,11.03294,78.0398,78.08669,191.9814,191.9867,520.2504,10.99968,156.1307,169.621,3000
361,186.0078,186.0021,7.005621,6.982855,130.0016,129.9984,3876.834,3887.899,556.9252,557.3414,264.4315,264.5426,202.7636,203.0374,519.7664,521.0388,11.03283,11.0329,78.02684,78.1048,191.9815,191.9866,520.2507,10.99963,156.1299,169.6201,3000
371,186.0078,186.0021,7.005619,6.982858,130.0004,129.9985,3876.829,3887.9,556.9252,557.3414,264.4332,264.5439,202.7431,203.0327,519.7667,521.0389,11.03279,11.03285,78.06482,78.0819,191.9813,191.9865,520.2509,10.99958,156.129,169.6201,3000
382,186.0075,186.0016,7.005619,6.982858,130.0004,129.9985,3876.829,3887.9,556.9252,557.3414,264.4332,264.5439,202.7431,203.0327,519.767,521.0391,11.03273,11.0328,78.15536,78.05382,191.981,191.9866,520.2511,10.99953,156.1281,169.619,3000
393,186.0075,186.0016,7.005617,6.982861,129.9994,129.9985,3876.834,3887.9,556.9251,557.3414,264.4348,264.5439,202.7746,203.0327,519.7674,521.0392,11.03269,11.03276,78.2299,78.05688,191.9806,191.9866,520.2515,10.99949,156.1272,169.619,3000
404,186.0071,186.0024,7.005617,6.982861,129.9994,129.9988,3876.834,3887.9,556.9251,557.3414,264.4348,264.5443,202.7746,203.0488,519.7679,521.0394,11.03267,11.03273,78.28636,78.04775,191.9802,191.9866,520.2519,10.99946,156.1264,169.619,3000
415,186.0071,186.0024,7.005617,6.982861,129.9994,129.9988,3876.834,3887.9,556.9251,557.3414,264.4348,264.5443,202.7746,203.0488,519.7686,521.0399,11.03266,11.03271,78.34789,78.06602,191.9799,191.9866,520.2523,10.99945,156.1259,169.6175,3000
426,186.0077,186.0024,7.005616,6.982863,129.9975,129.999,3876.846,3887.897,556.925,557.3416,264.4361,264.5441,202.7505,203.0392,519.7692,521.0402,11.03266,11.0327,78.31073,78.06287,191.9799,191.9866,520.2528,10.99944,156.1255,169.6175,3000
437,186.0077,186.0024,7.005616,6.982863,129.9975,129.999,3876.846,3887.897,556.925,557.3416,264.4361,264.5441,202.7505,203.0392,519.7699,521.0405,11.03266,11.0327,78.29868,78.06777,191.9798,191.9866,520.2532,10.99945,156.1254,169.6166,3000
448,186.0078,186.0022,7.005616,6.982865,129.9976,129.9992,3876.872,3887.893,556.9252,557.3418,264.437,264.5434,202.7768,203.0502,519.7706,521.0411,11.03268,11.03271,78.30438,78.06699,191.9798,191.9866,520.2538,10.99946,156.1254,169.6166,3000
459,186.0078,186.0022,7.005616,6.982865,129.9976,129.9992,3876.872,3887.893,556.9252,557.3418,264.437,264.5434,202.7768,203.0502,519.7713,521.0415,11.03271,11.03273,78.25975,78.13041,191.9798,191.9863,520.2545,10.99948,156.1255,169.6165,3000
470,186.0074,186.0025,7.005617,6.982866,129.9973,129.9992,3876.892,3887.893,556.925,557.3418,264.4374,264.5434,202.7476,203.0502,519.7722,521.0422,11.03275,11.03277,78.24397,78.24385,191.98,191.9858,520.2551,10.99952,156.1259,169.6165,3000
481,186.0078,186.0025,7.005617,6.982866,129.9973,129.999,3876.892,3887.889,556.925,557.3419,264.4374,264.5423,202.7476,203.0557,519.7729,521.0429,11.0328,11.03281,78.17114,78.29922,191.9803,191.9856,520.2559,10.99957,156.1264,169.6171,3000
492,186.0078,186.0025,7.005617,6.982866,129.9973,129.999,3876.892,3887.889,556.925,557.3419,264.4374,264.5423,202.7476,203.0557,519.7739,521.0436,11.03286,11.03287,78.13696,78.27669,191.9805,191.9855,520.2566,10.99962,156.1271,169.6171,3000
503,186.0078,186.0018,7.005618,6.982868,129.998,129.999,3876.909,3887.887,556.9249,557.3419,264.4375,264.541,202.7374,203.0513,519.7749,521.0444,11.03291,11.03293,78.06921,78.21438,191.981,191.9856,520.2574,10.99968,156.1279,169.6171,3000
514,186.0078,186.0018,7.005618,6.982868,129.998,129.999,3876.909,3887.887,556.9249,557.3419,264.4375,264.541,202.7374,203.0513,519.7758,521.045,11.03297,11.03299,77.98761,78.15006,191.9814,191.9857,520.2582,10.99974,156.1288,169.618,3000
525,186.0074,186.0024,7.005619,6.982871,129.9981,129.9994,3876.917,3887.885,556.9248,557.342,264.4373,264.5397,202.7384,203.0396,519.7766,521.0458,11.03302,11.03305,77.91779,78.14405,191.9819,191.9859,520.259,10.99979,156.1297,169.618,3000
536,186.0074,186.0024,7.005619,6.982871,129.9981,129.9994,3876.917,3887.885,556.9248,557.342,264.4373,264.5397,202.7384,203.0396,519.7772,521.0465,11.03305,11.03309,77.8393,78.13625,191.9824,191.9859,520.2598,10.99983,156.1305,169.6195,3000
546,186.008,186.0022,7.00562,6.982872,129.9981,129.9994,3876.923,3887.885,556.9247,557.342,264.4371,264.5397,202.7898,203.0396,519.7776,521.0472,11.03306,11.03312,77.80547,78.13912,191.9827,191.986,520.2602,10.99985,156.1311,169.6195,3000
557,186.008,186.0022,7.00562,6.982872,129.9981,129.9993,3876.923,3887.881,556.9247,557.3422,264.4371,264.5386,202.7898,203.0133,519.7781,521.0477,11.03306,11.03313,77.84627,78.13412,191.9829,191.986,520.2607,10.99986,156.1315,169.6206,3000
568,186.0081,186.0015,7.00562,6.982872,129.9981,129.9993,3876.923,3887.881,556.9247,557.3422,264.4371,264.5386,202.7898,203.0133,519.7785,521.0483,11.03305,11.03313,77.83723,78.14655,191.9831,191.986,520.2612,10.99985,156.1317,169.6206,3000
579,186.0081,186.0015,7.005624,6.982874,129.9983,129.999,3876.927,3887.878,556.9246,557.3424,264.4369,264.5381,202.7912,203.0027,519.7787,521.0488,11.03302,11.03311,77.81689,78.14476,191.9832,191.9861,520.2617,10.99983,156.1316,169.6206,3000
590,186.0074,186.0019,7.005624,6.982874,129.9983,129.999,3876.927,3887.878,556.9246,557.3424,264.4369,264.5381,202.7912,203.0027,519.7791,521.0493,11.03299,11.03309,77.77516,78.13145,191.9835,191.9861,520.2621,10.9998,156.1313,169.6209,3000
601,186.0074,186.0019,7.005627,6.982876,130.0004,129.9983,3876.929,3887.879,556.9244,557.3425,264.437,264.538,202.7913,203.0266,519.7793,521.0496,11.03294,11.03306,77.74683,78.14175,191.9837,191.9862,520.2625,10.99976,156.1308,169.6209,3000
612,186.008,186.0021,7.005627,6.982876,130.0004,129.9983,3876.929,3887.879,556.9244,557.3425,264.437,264.538,202.7913,203.0266,519.7794,521.0499,11.03287,11.03301,77.75046,78.1003,191.9838,191.9863,520.2626,10.99971,156.13,169.6203,3000
623,186.008,186.0021,7.005629,6.982877,130.0019,129.9983,3876.913,3887.879,556.9242,557.3425,264.4374,264.538,202.816,203.0266,519.7794,521.0502,11.0328,11.03294,77.78523,78.05614,191.9839,191.9865,520.2631,10.99964,156.129,169.6203,3000
634,186.008,186.0016,7.005629,6.982877,130.0019,129.9976,3876.913,3887.885,556.9242,557.3427,264.4374,264.5382,202.816,203.048,519.7795,521.0504,11.03272,11.03288,77.79408,78.04374,191.9837,191.9866,520.2632,10.99956,156.1278,169.6195,3000
645,186.0077,186.0024,7.005629,6.982877,130.0019,129.9976,3876.913,3887.885,556.9242,557.3427,264.4374,264.5382,202.816,203.048,519.7796,521.0505,11.03264,11.0328,77.90456,78.02814,191.9834,191.9868,520.2635,10.99949,156.1265,169.6195,3000
655,186.0077,186.0024,7.005628,6.982879,130.0022,129.998,3876.889,3887.896,556.924,557.3428,264.438,264.5387,202.8023,203.0465,519.7797,521.0507,11.03256,11.03273,78.00169,78.019,191.983,191.9869,520.2637,10.99941,156.125,169.6177,3000
667,186.0083,186.0021,7.005628,6.982879,130.0022,129.998,3876.889,3887.896,556.924,557.3428,264.438,264.5387,202.8023,203.0465,519.7798,521.0508,11.03249,11.03266,78.06656,78.03114,191.9826,191.9869,520.2639,10.99934,156.1237,169.6177,3000
677,186.0083,186.0021,7.005626,6.982882,130.0021,129.9991,3876.867,3887.901,556.9237,557.3428,264.4383,264.5393,202.7976,203.0198,519.7801,521.051,11.03242,11.03259,78.07961,78.05695,191.9824,191.9869,520.264,10.99927,156.1225,169.6177,3000
689,186.0076,186.0023,7.005625,6.982883,130.0018,129.9991,3876.851,3887.896,556.9235,557.343,264.4382,264.54,202.8181,203.0233,519.7819,521.0513,11.0322,11.03236,78.2263,78.21406,191.9814,191.9861,520.2651,10.99905,156.1177,169.6143,3000
724,186.0076,186.0023,7.005622,6.982882,130.0007,129.9991,3876.84,3887.896,556.9233,557.343,264.4375,264.54,202.798,203.0233,519.7822,521.0513,11.03219,11.03235,78.24255,78.21813,191.9813,191.986,520.2653,10.99904,156.1173,169.6143,3000
732,186.0083,186.0025,7.005622,6.982882,130.0007,129.9986,3876.84,3887.892,556.9233,557.3431,264.4375,264.5405,202.798,203.0357,519.7831,521.0515,11.03219,11.03234,78.21368,78.21628,191.9813,191.9859,520.2656,10.99903,156.1168,169.6129,3000
743,186.0083,186.0025,7.005622,6.982882,130.0007,129.9986,3876.84,3887.892,556.9233,557.3431,264.4375,264.5405,202.798,203.0357,519.7841,521.0517,11.0322,11.03235,78.13333,78.23548,191.9816,191.9858,520.2662,10.99904,156.1166,169.6129,3000
755,186.0083,186.002,7.00562,6.982882,129.9997,129.9983,3876.841,3887.893,556.9231,557.3431,264.4363,264.5407,202.7845,203.0404,519.7851,521.052,11.03222,11.03238,78.07648,78.20744,191.9817,191.9858,520.267,10.99907,156.1167,169.6166,3000
765,186.0083,186.0025,7.00562,6.982882,129.9997,129.9983,3876.841,3887.893,556.9231,557.3431,264.4363,264.5407,202.7845,203.0404,519.7862,521.0524,11.03226,11.03241,78.10654,78.2157,191.9816,191.9857,520.2677,10.9991,156.117,169.6166,3000
776,186.0081,186.0025,7.005619,6.982882,129.9993,129.9983,3876.849,3887.893,556.9229,557.3431,264.4351,264.5407,202.7686,203.0404,519.7872,521.0526,11.03229,11.03244,78.17085,78.19819,191.9815,191.9857,520.2683,10.99913,156.1174,169.6166,3000
787,186.0084,186.0023,7.005619,6.982882,129.9993,129.9987,3876.849,3887.896,556.9229,557.3433,264.4351,264.5406,202.7686,203.0211,519.7883,521.0528,11.03232,11.03247,78.24137,78.16978,191.9812,191.9859,520.2689,10.99916,156.1178,169.6169,3000
798,186.0084,186.0023,7.005619,6.982882,129.9993,129.9987,3876.849,3887.896,556.9229,557.3433,264.4351,264.5406,202.7686,203.0211,519.7896,521.053,11.03236,11.03251,78.22308,78.11085,191.9812,191.9861,520.2696,10.9992,156.1183,169.6169,3000
809,186.0084,186.002,7.005618,6.982883,129.9983,129.9989,3876.86,3887.895,556.9225,557.3434,264.4341,264.5404,202.7706,203.0298,519.7909,521.0533,11.0324,11.03255,78.19392,78.07893,191.9812,191.9862,520.2704,10.99924,156.1189,169.6173,3000
820,186.0084,186.002,7.005618,6.982883,129.9983,129.9989,3876.86,3887.895,556.9225,557.3434,264.4341,264.5404,202.7706,203.0298,519.7921,521.0535,11.03246,11.03259,78.22009,78.10586,191.9811,191.9862,520.2711,10.99929,156.1195,169.6173,3000
840,186.0081,186.0024,7.005618,6.982883,129.9973,129.9985,3876.876,3887.892,556.9221,557.3434,264.4336,264.5399,202.7795,203.045,519.7941,521.054,11.03254,11.03266,78.13322,78.17139,191.9815,191.986,520.2723,10.99936,156.1207,169.6181,3000
862,186.0087,186.0024,7.00562,6.982883,129.9979,129.9983,3876.897,3887.894,556.9216,557.3435,264.4337,264.5392,202.806,203.0519,519.7966,521.0544,11.03263,11.03275,77.99585,78.16898,191.9821,191.986,520.2737,10.99945,156.1222,169.6188,3000
884,186.0088,186.0016,7.005621,6.982884,129.9989,129.9991,3876.909,3887.897,556.9211,557.3436,264.4348,264.5386,202.7803,203.0505,519.7984,521.0546,11.03268,11.0328,78.07878,78.05336,191.9819,191.9865,520.2748,10.99951,156.1232,169.6197,3000
905,186.0084,186.0021,7.005622,6.982886,130.0002,129.9991,3876.91,3887.897,556.9208,557.3436,264.4365,264.5386,202.8014,203.0505,519.8007,521.0547,11.03274,11.03286,78.2151,77.8971,191.9815,191.9873,520.2762,10.99956,156.1243,169.6208,3000
930,186.0087,186.0018,7.005622,6.982886,130.0002,129.9996,3876.91,3887.893,556.9208,557.3437,264.4365,264.5382,202.8014,203.0324,519.8029,521.0547,11.03277,11.03287,78.2785,77.86833,191.981,191.9878,520.2773,10.99958,156.1249,169.6215,3000
952,186.0087,186.0015,7.005622,6.982887,130.0007,129.9998,3876.9,3887.885,556.9205,557.3437,264.4386,264.538,202.7896,203.0278,519.8049,521.0543,11.03277,11.03283,78.40192,77.78931,191.9803,191.9883,520.2783,10.99956,156.1249,169.6215,3000
973,186.0083,186.002,7.005622,6.982887,130.0014,129.9995,3876.888,3887.878,556.92,557.3435,264.4406,264.5381,202.7643,203.0574,519.8062,521.054,11.03277,11.0328,78.35435,77.82613,191.9803,191.9883,520.2787,10.99955,156.1246,169.6219,3000
997,186.0089,186.0019,7.005621,6.982887,130.0014,129.999,3876.873,3887.874,556.9197,557.3434,264.4423,264.538,202.7517,203.0662,519.8079,521.0536,11.03278,11.03277,78.26187,77.92278,191.9804,191.9881,520.2795,10.99954,156.1243,169.6217,3000
1017,186.0089,186.0021,7.00562,6.982888,130.0002,129.9995,3876.86,3887.876,556.9194,557.3436,264.4437,264.5379,202.7776,203.0686,519.8091,521.0532,11.03277,11.03273,78.29784,77.91619,191.9804,191.988,520.2802,10.99951,156.1239,169.6218,3000
1041,186.0082,186.0021,7.005619,6.98289,129.9987,129.9995,3876.862,3887.876,556.9193,557.3436,264.4445,264.5379,202.7479,203.0686,519.8109,521.053,11.03278,11.03272,78.42758,77.91659,191.9798,191.988,520.2808,10.99952,156.1235,169.6215,3000
1059,186.0087,186.0021,7.00562,6.98289,129.9983,130.0002,3876.875,3887.874,556.9189,557.3435,264.4449,264.5376,202.7684,203.0874,519.812,521.0529,11.03281,11.03272,78.40557,77.88478,191.9797,191.988,520.2814,10.99953,156.1236,169.6216,3000
1082,186.0088,186.0018,7.00562,6.98289,129.9983,130,3876.875,3887.865,556.9189,557.3435,264.4449,264.5371,202.7684,203.0737,519.8129,521.0528,11.03284,11.03273,78.2551,78.03133,191.9802,191.9875,520.2818,10.99955,156.1237,169.6218,3000
1103,186.0084,186.0021,7.005621,6.982889,129.9974,130.0003,3876.888,3887.861,556.9186,557.3435,264.4449,264.5365,202.7268,203.0567,519.8141,521.0532,11.03287,11.03276,78.07427,78.04539,191.9811,191.9872,520.2826,10.99958,156.1241,169.622,3000
1125,186.009,186.0022,7.005624,6.982888,129.9978,130.0001,3876.907,3887.854,556.9183,557.3434,264.4449,264.5357,202.757,203.0655,519.8149,521.0537,11.0329,11.03278,78.02683,77.9913,191.9816,191.9873,520.2831,10.9996,156.1244,169.622,3000
1147,186.0091,186.0018,7.005627,6.982888,129.9978,129.999,3876.917,3887.851,556.9182,557.3434,264.4448,264.5348,202.7833,203.0592,519.8156,521.0547,11.0329,11.03279,77.99405,78.0927,191.982,191.9868,520.2838,10.99961,156.1247,169.6223,3000
1169,186.0088,186.0026,7.00563,6.982887,129.9981,129.9995,3876.926,3887.857,556.918,557.3433,264.4448,264.5339,202.7488,203.0595,519.8159,521.0552,11.03288,11.03279,78.00051,78.13643,191.9821,191.9865,520.2843,10.9996,156.1246,169.6227,3000
1191,186.009,186.0024,7.005634,6.982888,130.0002,129.9995,3876.931,3887.857,556.9178,557.3433,264.4448,264.5339,202.7756,203.0595,519.8156,521.0566,11.03283,11.03276,78.02009,78.01933,191.9822,191.9867,520.2854,10.99956,156.1242,169.6227,3000
1214,186.009,186.0026,7.005634,6.982888,130.0002,129.999,3876.931,3887.858,556.9178,557.3433,264.4448,264.5334,202.7756,203.0664,519.815,521.0577,11.03277,11.03272,77.89598,78.08827,191.9828,191.9866,520.2856,10.99951,156.1234,169.6226,3000
